Tarih,Gün,Saat,Sınav,Yer
18/01/2025,Cumartesi,15:00,5-I Ortak Dersler (Yüz Yüze),Eğitim Fakültesi B Blok
20/01/2025,Pazartesi,13:30-15:00,Bilgisayar Müh. Giriş,Z-02 Z-05 207 Z-08
20/01/2025,Pazartesi,15:00-17:00,Doğrusal Cebir,Z-05 Z-07 Z-08
20/01/2025,Pazartesi,17:00-19:00,Veri Tabanı Yönetim Sistemleri,202 Z-05 Z-07 Z-08
20/01/2025,Pazartesi,19:00-21:00,Sayısal Devreler ve Mantıksal Tasarım,Z-02 Z-07
21/01/2025,Salı,10:00-12:00,Diferansiyel Denklemler,Z-02 Z-05 Z-07 Z-08
21/01/2025,Salı,13:30-15:00,Programlamaya Giriş-1,Z-02 Z-05 207 Z-08
21/01/2025,Salı,15:00-17:00,Bilgisayar Mimarisi,Z-02 Z-07
23/01/2025,Perşembe,15:00-17:00,Mobil Programlama,Z-05
23/01/2025,Perşembe,17:00-19:00,Veri Yapıları,Z-02 Z-05 Z-07 Z-08
23/01/2025,Perşembe,19:00-21:00,Sistem Programlama,Z-02 Z-05 207 Z-08
24/01/2025,Cuma,08:00-10:00,Yöneylem Araştırması,Z-08
24/01/2025,Cuma,10:00-12:00,Bilgisayar Ağları,Z-02 Z-05 Z-07 Z-08
24/01/2025,Cuma,13:30-15:00,Yazılım Mühendisliği,Z-02 207 Z-08
24/01/2025,Cuma,15:00-17:00,Makine Öğrenimine Giriş,Z-05
24/01/2025,Cuma,17:00-19:00,Java I,Z-07 Z-08
25/01/2025,Cumartesi,10:00,5-I Ortak Dersler (UZEM),Yüz Yüze
25/01/2025,Cumartesi,13:30,5-I Ortak Dersler (UZEM),Yüz Yüze
